,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,weight,liveness
0VaIsQoIQY10uxBrOyZ5cQ,0.464,https://api.spotify.com/v1/audio-analysis/0VaIsQoIQY10uxBrOyZ5cQ,0.784,195356,0.435,0VaIsQoIQY10uxBrOyZ5cQ,5.27e-06,8,-9.197,1,0.0647,90.033,4,https://api.spotify.com/v1/tracks/0VaIsQoIQY10uxBrOyZ5cQ,audio_features,spotify:track:0VaIsQoIQY10uxBrOyZ5cQ,0.865,,1,0.0913
2Nh2cMryoXl7BrZoIeN2Pr,0.0711,https://api.spotify.com/v1/audio-analysis/2Nh2cMryoXl7BrZoIeN2Pr,0.753,193093,0.594,2Nh2cMryoXl7BrZoIeN2Pr,0,1,-9.486,0,0.0816,112.568,4,https://api.spotify.com/v1/tracks/2Nh2cMryoXl7BrZoIeN2Pr,audio_features,spotify:track:2Nh2cMryoXl7BrZoIeN2Pr,0.562,,1,0.391
3E895HtTn6lB40SA0l9EkL,0.708,https://api.spotify.com/v1/audio-analysis/3E895HtTn6lB40SA0l9EkL,0.395,226116,0.409,3E895HtTn6lB40SA0l9EkL,1.62e-05,6,-8.58,1,0.056,74.088,4,https://api.spotify.com/v1/tracks/3E895HtTn6lB40SA0l9EkL,audio_features,spotify:track:3E895HtTn6lB40SA0l9EkL,0.193,,1,0.0982
767PVupkn44LW4Mt9ZpKAV,0.412,https://api.spotify.com/v1/audio-analysis/767PVupkn44LW4Mt9ZpKAV,0.732,183173,0.642,767PVupkn44LW4Mt9ZpKAV,0,3,-6.148,1,0.0573,89.983,4,https://api.spotify.com/v1/tracks/767PVupkn44LW4Mt9ZpKAV,audio_features,spotify:track:767PVupkn44LW4Mt9ZpKAV,0.758,,1,0.135
1siRduG7oWrGGbdr8IWt6H,0.183,https://api.spotify.com/v1/audio-analysis/1siRduG7oWrGGbdr8IWt6H,0.795,176187,0.409,1siRduG7oWrGGbdr8IWt6H,0.00108,9,-10.134,0,0.0859,120.095,4,https://api.spotify.com/v1/tracks/1siRduG7oWrGGbdr8IWt6H,audio_features,spotify:track:1siRduG7oWrGGbdr8IWt6H,0.518,,1,0.112
3kBofOTKMUZ62a311eUwvx,0.888,https://api.spotify.com/v1/audio-analysis/3kBofOTKMUZ62a311eUwvx,0.662,255466,0.297,3kBofOTKMUZ62a311eUwvx,0.108,8,-14.525,1,0.0301,94.023,4,https://api.spotify.com/v1/tracks/3kBofOTKMUZ62a311eUwvx,audio_features,spotify:track:3kBofOTKMUZ62a311eUwvx,0.434,,1,0.119
4cVJtU3eCwRgoKT4MYnBG9,0.347,https://api.spotify.com/v1/audio-analysis/4cVJtU3eCwRgoKT4MYnBG9,0.861,273500,0.65,4cVJtU3eCwRgoKT4MYnBG9,0.000771,4,-4.935,0,0.0483,120.009,4,https://api.spotify.com/v1/tracks/4cVJtU3eCwRgoKT4MYnBG9,audio_features,spotify:track:4cVJtU3eCwRgoKT4MYnBG9,0.525,,1,0.0562
0jFGFUFKNuTTRE2j2gSI8Y,0.186,https://api.spotify.com/v1/audio-analysis/0jFGFUFKNuTTRE2j2gSI8Y,0.54,275440,0.659,0jFGFUFKNuTTRE2j2gSI8Y,0,5,-4.708,1,0.0417,104.966,4,https://api.spotify.com/v1/tracks/0jFGFUFKNuTTRE2j2gSI8Y,audio_features,spotify:track:0jFGFUFKNuTTRE2j2gSI8Y,0.087,,1,0.148
5jyyPsIGM2yqkZN9R3TmvN,0.0626,https://api.spotify.com/v1/audio-analysis/5jyyPsIGM2yqkZN9R3TmvN,0.727,238893,0.72,5jyyPsIGM2yqkZN9R3TmvN,1.21e-06,11,-5.856,0,0.0488,140.08,4,https://api.spotify.com/v1/tracks/5jyyPsIGM2yqkZN9R3TmvN,audio_features,spotify:track:5jyyPsIGM2yqkZN9R3TmvN,0.589,,1,0.176
2602cqcciq2t7MATZJJVuP,0.673,https://api.spotify.com/v1/audio-analysis/2602cqcciq2t7MATZJJVuP,0.722,187376,0.663,2602cqcciq2t7MATZJJVuP,1.37e-05,4,-7.931,1,0.248,129.727,4,https://api.spotify.com/v1/tracks/2602cqcciq2t7MATZJJVuP,audio_features,spotify:track:2602cqcciq2t7MATZJJVuP,0.321,,1,0.096
